NFLID,Short_Name,Full_Name,Date_of_Birth,Height,Weight,College,Years_Pro,Jersey_Number
00-0028898,N.Sukay,Nick Sukay,3/9/1989,73,215,Penn State,1,
00-0028899,R.McLeod,Rodney McLeod,6/23/1990,70,195,Virginia,5,23
00-0028891,J.Blatnick,Jamie Blatnick,6/24/1989,75,253,Oklahoma State,1,
00-0028892,G.Robinson,Gerell Robinson,10/13/1989,76,248,Arizona State,2,89
00-0028893,A.Corp,Aaron Corp,3/6/1989,76,195,Richmond,,
00-0028895,D.Howell,Delano Howell,11/17/1989,71,196,Stanford,4,26
00-0031890,,Josh Shirley,1/4/1992,73,235,Nevada-Las Vegas,2,91
00-0028897,S.Powell,Shawn Powell,11/29/1988,76,243,Florida State,2,9
00-0026611,T.Lorenzen,Tyler Lorenzen,12/24/1985,77,234,Connecticut,3,
00-0024188,R.Niswanger,Rudy Niswanger,11/9/1982,77,301,LSU,6,
00-0024183,B.Grimes,Brent Grimes,7/19/1983,70,185,Shippensburg,10,24
00-0024187,S.Williams,Steve Williams,9/21/1981,74,300,Northwest Missouri State,4,
00-0025589,M.Richardson,Mike Richardson,2/18/1984,71,190,Notre Dame,4,
00-0025588,R.Barksdale,Rashad Barksdale,5/11/1984,72,208,Albany,3,
00-0025580,M.Crosby,Mason Crosby,9/3/1984,73,207,Colorado,10,2
00-0025583,H.Taylor,Herb Taylor,9/22/1984,76,305,Texas Christian,6,
00-0025582,D.Anderson,Deon Anderson,1/27/1983,70,240,Connecticut,4,
00-0025585,D.Datish,Doug Datish,8/1/1983,76,305,Ohio State,2,
00-0025584,C.Taylor,Courtney Taylor,4/7/1984,73,205,Auburn,3,
00-0025587,M.Purcell,Melila Purcell,2/5/1984,77,295,Hawaii,3,
00-0022122,E.Steinbach,Eric Steinbach,4/4/1980,78,295,Iowa,10,
00-0022123,C.Tillman,Charles Tillman,2/23/1981,74,210,Louisiana-Lafayette,13,31
00-0022120,C.Pace,Calvin Pace,10/28/1980,76,265,Wake Forest,13,97
00-0022121,R.Grossman,Rex Grossman,8/23/1980,73,225,Florida,12,3
00-0016271,H.Thomas,Hollis Thomas,1/10/1974,72,340,Northern Illinois,14,
00-0022127,J.Witten,Jason Witten,5/6/1982,78,263,Tennessee,14,82
00-0022128,L.Briggs,Lance Briggs,11/12/1980,73,244,Arizona,12,55
00-0026720,R.Murray,Rico Murray,8/21/1987,71,196,Kent State,3,
00-0026721,T.Nelson,Tom Nelson,12/4/1986,71,200,Illinois State,3,0
00-0026722,G.Orton,Greg Orton,12/17/1986,75,199,Purdue,2,0
00-0026723,C.Pressley,Chris Pressley,8/8/1986,71,260,Wisconsin,5,0
00-0026725,D.Skuta,Dan Skuta,4/21/1986,74,265,Grand Valley State,7,55
00-0026726,M.Garvin,Michael Ray Garvin,9/29/1986,68,182,Florida State,0,
00-0026727,R.Walker,Reggie Walker,12/15/1986,72,244,Kansas State,7,50
00-0026728,J.Dowling,Jameel Dowling,12/29/1984,75,205,Hawaii,1,
00-0030942,,Tyler Scott,5/6/1991,76,250,Northwestern,0,64
00-0030941,,Antonio Richardson,2/24/1992,78,300,Tennessee,2,78
00-0030946,K.Hyder,Kerry Hyder,5/2/1991,74,301,Texas Tech,1,61
00-0030945,,Steele Divitto,10/24/1991,74,237,Boston College,0,48
00-0030944,D.Williams,Dominique Williams,9/2/1990,69,205,Wagner,1,35
00-0029277,J.Howard,Jaye Howard,12/20/1988,75,301,Florida,5,96
00-0029276,E.Rodriguez,Evan Rodriguez,9/21/1988,74,239,Temple,3,81
00-0029275,L.Green,Ladarius Green,5/29/1990,78,240,Louisiana-Lafayette,5,80
00-0029274,D.Wylie,Devon Wylie,9/2/1988,69,187,Fresno State,2,0
00-0029273,R.Turbin,Robert Turbin,12/2/1989,70,225,Utah State,5,33
00-0029272,N.Bradham,Nigel Bradham,9/4/1989,74,241,Florida State,5,53
00-0029271,J.Adams,Joe Adams,11/22/1989,71,185,Arkansas,2,85
00-0029270,F.Alexander,Frank Alexander,12/17/1989,76,270,Oklahoma,3,90
00-0029279,J.Johnson,James-Michael Johnson,8/20/1989,73,238,Nevada,5,56
00-0029278,J.Looney,Joe Looney,8/31/1990,75,315,Wake Forest,4,73
00-0025633,K.Darby,Kenneth Darby,12/26/1982,70,219,Alabama,4,
00-0025632,M.Hamilton,Marcus Hamilton,2/17/1984,71,185,Virginia,3,
00-0025631,J.Snelling,Jason Snelling,12/29/1983,71,234,Virginia,7,44
00-0025630,C.Harris,Clark Harris,7/10/1984,77,250,Rutgers,8,46
00-0025637,A.Bradshaw,Ahmad Bradshaw,3/19/1986,70,217,Marshall,9,44
00-0025636,D.Stanley,Derek Stanley,8/27/1985,71,182,Wis.-Whitewater,3,
00-0023368,C.Wake,Cameron Wake,1/30/1982,75,263,Penn State,8,91
00-0033029,,Kelsey Young,3/4/1993,70,198,Boise State,0,32
00-0033028,,Michael Wakefield,1/12/1994,75,268,Florida International,0,45
00-0033025,,Jalen Richard,10/15/1993,68,207,Southern Mississippi,0,46
00-0033024,,Branden Jackson,11/11/1992,76,268,Texas Tech,0,63
00-0033027,,Joe Licata,11/16/1992,74,210,Buffalo,0,8
00-0033026,,Torian White,4/23/1993,78,318,Hampton,0,64
00-0033021,,Jake Lampman,6/11/1993,72,205,Ferris State,0,19
00-0033020,,Vi Teofilo,12/20/1993,75,315,Arizona State,0,64
00-0033023,,Joe Hansley,2/7/1994,69,168,Colorado State,0,9
00-0033022,,Chris Edwards,12/23/1992,73,218,Idaho,0,37
00-0026584,I.Johnson,Ian Johnson,9/25/1985,71,212,Boise State,2,
00-0026585,T.Johnson,Tremaine Johnson,9/26/1985,74,285,LSU,2,
00-0026580,J.Cooper,Jon Cooper,10/1/1986,74,291,Oklahoma,3,
00-0026581,R.Francois,Rob Francois,5/14/1985,74,255,Boston College,4,49
00-0026583,D.Hall,De'von Hall,9/8/1987,75,215,Utah State,2,
00-0026588,N.Moore,Nick Moore,6/25/1986,74,186,Toledo,0,
00-0026589,V.Perretta,Vinny Perretta,10/14/1985,69,186,Boise State,0,
00-0029923,J.Woods,J.D. Woods,2/7/1990,72,203,West Virginia,,
00-0029922,A.White,Anthony Rashad White,8/2/1989,74,320,Michigan State,,
00-0026616,J.Williams,Johnny Williams,2/20/1986,74,246,Kentucky,2,
00-0029927,D.Eubanks,Darius Eubanks,7/12/1991,74,222,Georgia Southern,3,49
00-0029925,B.Bishop,Brandan Bishop,1/23/1991,73,208,North Carolina State,1,0
00-0029853,J.Aubrey,Josh Aubrey,4/9/1991,70,207,Stephen F. Austin St.,3,31
00-0029852,M.Burdette,Marvin Burdette,9/9/1990,71,230,Alabama-Birmingham,,
00-0029850,C.Reeves,Chip Reeves,12/24/1989,70,176,Troy,,
00-0029857,R.Griffin,Ryan Griffin,11/17/1989,77,210,Tulane,3,4
00-0023750,M.Williams,Mario Williams,1/31/1985,78,300,North Carolina State,11,94
00-0029854,C.Anderson,C.J. Anderson,2/10/1991,68,224,California,4,22
00-0023299,I.Ndukwe,Ike Ndukwe,7/17/1982,76,325,Northwestern,7,
00-0023298,L.Ladouceur,L.P. LaDouceur,3/13/1981,77,256,California,12,91
00-0027451,J.Ruffin,James Ruffin,2/6/1987,76,263,Northern Iowa,1,77
00-0027450,P.Parker,Preston Parker,2/13/1987,72,200,North Alabama,4,15
00-0027981,K.Rudolph,Kyle Rudolph,11/9/1989,78,265,Notre Dame,6,82
00-0027452,J.Williams,James Williams,7/3/1988,77,295,Harvard,2,
00-0027455,C.Chancellor,Chris Chancellor,12/22/1986,69,180,Clemson,1,
00-0027986,S.Wisniewski,Stefen Wisniewski,3/22/1989,75,305,Penn State,6,61
00-0027457,S.Miller,Swanson Miller,3/24/1986,76,310,Oklahoma State,2,
00-0027456,J.Haggerty,Johnathan Haggerty,2/5/1988,73,195,Southwestern Oklahoma State,2,
00-0027459,J.Reinders,Joel Reinders,10/2/1987,80,318,Waterloo (Canada),2,
00-0027989,D.Bowers,Da'Quan Bowers,2/23/1990,76,288,Clemson,5,91
00-0027988,M.Gilchrist,Marcus Gilchrist,12/8/1988,70,198,Clemson,6,21
00-0028771,D.Shannon,Davonte Shannon,1/15/1989,72,205,Buffalo,1,
00-0025968,J.Clermond,Joe Clermond,11/13/1984,74,250,Pittsburgh,1,
00-0004073,B.Dawkins,Brian Dawkins,10/13/1973,72,210,Clemson,16,
00-0025966,C.Balogh,Cody Balogh,2/14/1986,78,303,Montana,2,
00-0030857,,Deion Belue,9/3/1991,71,183,Alabama,0,43
00-0028775,T.Evans,Tae Evans,2/27/1988,72,205,West Texas A&M;,1,
00-0032772,,Ryan Smith,9/7/1993,71,189,North Carolina Central,0,29
00-0027666,M.Hardesty,Montario Hardesty,2/1/1987,72,225,Tennessee,4,
00-0027189,C.Bryan,Chris Bryan,3/6/1982,77,220,No College,2,
00-0027188,C.Hall,Chad Hall,5/23/1986,68,187,Air Force,4,14
00-0032776,,Deiondre' Hall,5/31/1994,74,201,Northern Iowa,0,32
00-0023740,T.Gafford,Thomas Gafford,1/29/1983,74,244,Houston,8,47
00-0032774,,Deon Bush,8/14/1993,72,200,Miami (Fla.),0,26
00-0023742,J.Ryan,Jon Ryan,11/26/1981,72,217,Regina (Canada),11,9
00-0027183,P.Pratt,Paul Pratt,5/1/1985,70,185,Nevada,2,
00-0027182,M.Mallett,Martell Mallett,5/13/1986,72,210,Arkansas-Pine Bluff,1,
00-0032778,,Tajae Sharpe,12/23/1994,74,194,Massachusetts,0,19
00-0032779,,Caleb Benenoch,8/8/1994,77,305,UCLA,0,77
00-0027187,M.Overton,Matt Overton,7/6/1985,73,243,Western Washington,5,45
00-0027664,M.Neal,Mike Neal,6/26/1987,75,262,Purdue,6,96
00-0027185,Bo.Smith,Bo Smith,6/8/1983,72,190,Weber State,1,
00-0027675,E.Dickson,Ed Dickson,7/25/1987,76,255,Oregon,7,84
00-0027674,J.Veldheer,Jared Veldheer,6/14/1987,80,321,Hillsdale,7,68
00-0027677,A.Carrington,Alex Carrington,6/19/1987,77,301,Arkansas State,6,98
00-0027665,T.Cody,Terrence Cody,6/28/1988,76,345,Alabama,5,62
00-0027671,A.Spievey,Amari Spievey,4/15/1988,71,195,Iowa,4,
00-0027670,J.Murphy,Jerome Murphy,1/13/1987,72,200,South Florida,4,45
00-0027673,J.Asamoah,Jon Asamoah,7/21/1988,76,305,Illinois,6,75
00-0027672,M.Lewis,Myron Lewis,11/24/1987,74,203,Vanderbilt,4,
00-0027662,C.Dunlap,Carlos Dunlap,2/28/1989,78,280,Florida,7,96
00-0027679,D.Smith,D'Anthony Smith,6/9/1988,74,300,Louisiana Tech,6,70
00-0027678,J.Jerry,John Jerry,6/14/1986,77,340,Mississippi,7,77
00-0027663,S.Lee,Sean Lee,7/22/1986,74,238,Penn State,7,50
00-0030879,,Ethan Hemer,3/3/1991,78,285,Wisconsin,1,79
00-0027377,K.Kristick,Keaton Kristick,4/25/1988,75,234,Oregon State,2,
00-0023600,M.Hawkins,Mike Hawkins,7/15/1983,73,187,Oklahoma,4,
00-0023602,G.Hangartner,Geoff Hangartner,4/22/1982,77,305,Texas A&M,9,63
00-0023606,T.Hagler,Tyjuan Hagler,12/3/1981,72,236,Cincinnati,6,
00-0026078,K.Kapanui,Kolo Kapanui,11/13/1983,75,270,West Texas A&M;,2,
00-0024218,V.Young,Vince Young,5/18/1983,77,232,Texas,7,0
00-0024219,D.Ferguson,D'Brickashaw Ferguson,12/10/1983,78,310,Virginia,10,60
00-0024217,R.Bush,Reggie Bush,3/2/1985,72,205,USC,11,23
00-0024110,S.Weatherford,Steve Weatherford,12/17/1982,74,210,Illinois,10,3
00-0030746,J.Smith,Jerome Smith,4/6/1991,72,226,Syracuse,1,34
00-0021931,K.Walter,Kevin Walter,8/4/1981,75,218,Eastern Michigan,11,87
00-0030125,C.Bykowski,Carter Bykowski,7/25/1990,79,313,Iowa State,3,60
00-0030124,B.Hepburn,Brandon Hepburn,12/6/1989,76,243,Florida A&M,1,48
00-0024373,M.Anderson,Mark Anderson,5/26/1983,76,255,Alabama,7,
00-0024372,C.Peprah,Charlie Peprah,2/24/1983,71,203,Alabama,7,
00-0024375,C.Kuper,Chris Kuper,12/19/1982,76,303,North Dakota,8,73
00-0030120,B.Daniels,B.J. Daniels,10/24/1989,71,217,South Florida,4,2
00-0024377,D.Kirtman,David Kirtman,2/12/1983,72,238,USC,4,
00-0030122,,Reid Fragel,2/22/1991,80,308,Ohio State,1,69
00-0024379,T.Moll,Tony Moll,8/23/1983,77,315,Nevada,7,
00-0030129,J.Cunningham,Justice Cunningham,1/14/1991,75,258,South Carolina,1,48
00-0030128,M.Cox,Michael Cox,11/14/1988,73,222,Massachusetts,3,29
00-0022913,A.Carroll,Ahmad Carroll,8/4/1983,70,190,Arkansas,5,
00-0022912,J.Losman,J.P. Losman,3/12/1981,74,217,Tulane,8,
00-0022911,W.Smith,Will Smith,7/4/1981,75,282,Ohio State,11,90
00-0022910,L.Evans,Lee Evans,3/11/1981,72,210,Wisconsin,9,
00-0022915,I.Olshansky,Igor Olshansky,5/3/1982,77,315,Oregon,8,
00-0022914,C.Gamble,Chris Gamble,3/11/1983,73,205,Ohio State,9,
00-0022918,A.Odom,Antwan Odom,9/24/1981,77,275,Alabama,7,
00-0028409,D.Harris,DuJuan Harris,9/3/1988,68,206,Troy,3,32
00-0028403,J.Dickson,JoJo Dickson,7/13/1989,73,245,Idaho,1,0
00-0028401,C.Bradfield,Cameron Bradfield,9/14/1987,76,308,Grand Valley State,5,64
00-0028400,A.Binns,Armon Binns,9/8/1989,75,211,Cincinnati,3,0
00-0028407,E.Gordon,Eric Gordon,8/22/1987,72,232,Michigan State,1,
00-0028406,T.Gallarda,Tommy Gallarda,5/8/1988,77,262,Boise State,2,
00-0028405,M.Estrada,Matt Estrada,10/20/1988,70,196,Northern Arizona,1,
00-0028404,G.Ellingson,Greg Ellingson,12/30/1988,75,197,Florida International,2,
00-0019281,M.Furrey,Mike Furrey,3/12/1977,72,192,Northern Iowa,8,
00-0020450,C.Rabach,Casey Rabach,9/24/1977,76,288,Wisconsin,10,
00-0020457,S.Neal,Stephen Neal,10/9/1976,76,305,Cal State-Bakersfield,10,
00-0028669,C.Randle,Chris Randle,6/18/1988,71,198,Utah State,1,
00-0028668,R.Radway,Raymond Radway,7/5/1987,75,204,Abilene Christian,2,
00-0028667,L.Leong,Lyle Leong,8/23/1987,73,175,Texas Tech,1,
00-0028666,O.Lemon,Orie Lemon,9/9/1987,73,242,Oklahoma State,5,45
00-0028665,K.Kowalski,Kevin Kowalski,1/2/1989,75,298,Toledo,3,61
00-0028664,C.Jones,Chris Jones,7/21/1989,72,205,Carson-Newman,5,6
00-0028662,M.Butler,Mario Butler,10/20/1988,73,187,Georgia Tech,2,39
00-0028660,D.Bailey,Dan Bailey,1/26/1988,72,195,Oklahoma State,6,5
00-0029138,A.Ta'amu,Alameda Ta'amu,8/23/1990,75,348,Washington,4,66
00-0023195,T.Johnson,Thomas Johnson,6/24/1981,74,304,Middle Tennessee State,5,
00-0029134,B.Brinkley,Beau Brinkley,1/25/1990,76,248,Missouri,5,48
00-0023199,D.Reid,Darrell Reid,6/20/1982,74,270,Minnesota,6,
00-0029136,B.Hernandez,Brian Hernandez,4/13/1984,71,190,Utah,1,
00-0029137,A.Jeffery,Alshon Jeffery,2/14/1990,75,218,South Carolina,5,17
00-0029130,D.Moses,Dezman Moses,1/4/1989,74,249,Tulane,5,54
00-0029133,N.Stephens,Nick Stephens,5/19/1987,75,221,Tarleton State,1,0
00-0027860,J.Haden,Joe Haden,4/14/1989,71,195,Florida,7,23
00-0027861,C.Spiller,C.J. Spiller,8/5/1987,71,200,Clemson,7,28
00-0027862,T.Alualu,Tyson Alualu,5/12/1987,75,310,California,6,93
00-0027863,A.Davis,Anthony Davis,10/11/1989,77,323,Rutgers,6,76
00-0027864,R.Mathews,Ryan Mathews,10/10/1987,72,220,Fresno State,7,24
00-0027865,B.Graham,Brandon Graham,4/3/1988,74,265,Michigan,7,55
00-0027866,E.Thomas,Earl Thomas,5/7/1989,70,202,Texas,7,29
00-0027867,J.Pierre-Paul,Jason Pierre-Paul,1/1/1989,77,278,South Florida,7,90
00-0027868,D.Morgan,Derrick Morgan,1/6/1989,76,261,Georgia Tech,7,91
00-0027869,M.Iupati,Mike Iupati,5/12/1987,77,331,Idaho,7,76
00-0003035,D.Clark,Desmond Clark,4/20/1977,75,249,Wake Forest,13,
00-0022350,R.Lilja,Ryan Lilja,10/15/1981,74,290,Kansas State,10,
00-0022352,B.Sapp,Benny Sapp,1/20/1981,70,190,Northern Iowa,8,
00-0026448,M.Spanos,Matt Spanos,12/31/1984,77,310,USC,2,
00-0026441,D.Miller,Drew Miller,7/6/1985,77,303,Florida,3,
00-0026443,P.Smith,Paul Smith,7/2/1984,73,202,Tulsa,2,
00-0026442,L.Myles,Lamar Myles,1/7/1986,71,230,Louisville,1,
00-0026113,C.Smith,Clifton Smith,7/4/1985,69,190,Fresno State,3,
00-0026444,B.Witherspoon,Brian Witherspoon,6/5/1985,70,180,Stillman,5,
00-0026447,E.Brock,Eric Brock,4/4/1985,72,204,Auburn,3,
00-0026110,C.Bradwell,Chris Bradwell,12/17/1983,77,280,Troy,2,
00-0027248,J.Cudjo,Jermelle Cudjo,9/28/1986,74,298,Central Oklahoma,5,76
00-0027244,J.Miles,Jeromy Miles,7/20/1987,74,211,Massachusetts,6,0
00-0027245,V.Rey,Vincent Rey,9/6/1987,72,255,Duke,6,57
00-0027246,J.Tronzo,Joe Tronzo,6/10/1987,71,240,Louisville,2,
00-0027247,M.Windt,Mike Windt,5/29/1986,73,237,Cincinnati,7,47
00-0030330,,Devan Walker,3/12/1990,75,240,Southeastern Louisiana,0,48
00-0030331,A.Chapman,Allen Chapman,7/23/1991,71,181,Kansas State,,
00-0030333,S.Progar,Sean Progar,6/7/1990,75,250,Northern Illinois,,
00-0030334,A.Amos,Anthony Amos,8/2/1990,71,178,Middle Tennessee State,,
00-0030335,L.Coleman,Lanier Coleman,12/21/1986,76,322,Louisiana-Lafayette,1,76
00-0030336,S.Hooey,Sean Hooey,7/26/1990,81,304,Cincinnati,1,76
00-0030337,T.Jenkins,Tim Jenkins,2/6/1991,73,200,Fort Lewis,,
00-0030339,A.Martin,Andre Martin,12/23/1989,71,195,North Dakota State,,
00-0022746,J.Dugan,Jeff Dugan,4/8/1981,76,258,Maryland,8,
00-0022744,J.Sorgi,Jim Sorgi,12/3/1980,77,196,Wisconsin,7,
00-0022742,V.Hutchins,Von Hutchins,2/14/1981,70,180,Mississippi,6,
00-0022740,J.Allen,Jared Allen,4/3/1982,78,255,Idaho State,12,69
00-0032189,,Tony Steward,9/19/1992,72,241,Clemson,2,97
00-0032188,V.Mayle,Vince Mayle,6/12/1991,74,228,Washington State,1,16
00-0032181,,Houston Bates,12/20/1990,75,252,Louisiana Tech,2,96
00-0032185,,Tevin Westbrook,2/17/1993,77,237,Florida,1,81
00-0032187,,David Johnson,12/16/1991,73,224,Northern Iowa,2,31
00-0030973,,Evan Wilson,2/13/1992,78,250,Illinois,0,81
00-0031422,N.DiMarco,Nick DiMarco,1/28/1992,74,237,William Penn,0,47
00-0031421,A.Furney,Andrew Furney,6/23/1991,70,210,Washington State,0,0
00-0031420,K.Redfern,Kasey Redfern,9/26/1991,74,215,Wofford,1,3
00-0031427,T.Davis,Todd Davis,5/17/1992,73,230,Sacramento State,3,51
00-0031426,,Joel Bitonio,10/11/1991,76,305,Nevada,3,75
00-0031425,,Dominique Easley,2/24/1992,74,285,Florida,2,99
00-0031429,,Jerry Rice,7/27/1991,71,185,Nevada-Las Vegas,2,0
00-0031428,,Allen Robinson,8/24/1993,75,215,Penn State,2,15
00-0032233,,Cedric Ogbuehi,4/25/1992,77,310,Texas A&M,2,70
00-0032237,,Jimmay Mundine,11/12/1991,74,240,Kansas,0,81
00-0032234,,Laken Tomlinson,2/9/1992,75,323,Duke,2,72
00-0032239,,Byron Jones,9/26/1992,72,205,Connecticut,2,31
00-0020664,B.Moore,Brandon Moore,1/16/1979,73,240,Oklahoma,8,
00-0031529,,Reggie Bell,5/6/1992,71,201,California-San Diego,1,11
00-0031526,,Tyler Varga,9/24/1993,70,225,Yale,0,38
00-0031525,,Junior Sylvestre,12/27/1991,72,242,Toledo,2,48
00-0006305,A.Green,Ahman Green,2/16/1977,72,218,Nebraska,12,
00-0031521,,Al-Hajj Shabazz,8/2/1992,74,200,West Chester,1,44
00-0013282,T.Pryce,Trevor Pryce,8/3/1975,77,290,Clemson,14,
00-0028872,J.Hekker,Johnny Hekker,2/8/1990,77,236,Oregon State,4,6
00-0028870,Q.Pointer,Quinton Pointer,4/16/1988,69,186,Nevada-Las Vegas,3,32
00-0028871,M.Daniels,Matt Daniels,9/27/1989,72,212,Duke,3,30
00-0028876,C.Mooney,Collin Mooney,4/3/1986,70,238,Army,3,39
00-0028874,C.Middleton,Calvin Middleton,5/19/1990,71,220,Jacksonville State,0,
00-0028875,M.Masifilo,Matthew Masifilo,10/1/1989,75,305,Stanford,2,64
00-0028878,M.Conrath,Matt Conrath,8/11/1989,79,306,Virginia,3,69
00-0028879,A.Hoffman-Ellis,Alex Hoffman-Ellis,8/14/1989,72,232,Washington State,0,
